tic_id,best_subject_id,best_subject_sector,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at,best_subject_img_id,num_subjects,sectors,subject_ids
242589597,64594496,38,4,4,0,4,4,2021-07-26 11:33:48.781000+00:00,07aa3baf-1885-4ba7-be0f-ac8c8dc8841e,1,38,64594496
242594123,64595985,38,1,1,0,1,1,2021-07-25 23:41:39.371000+00:00,66bf3bc5-1984-4386-8701-e86188a7133d,1,38,64595985
242799145,38692631,17,1,1,0,2,2,2019-12-07 17:11:47.156000+00:00,c1e95fca-2fe9-47c8-a8f7-516d75deddd6,1,17,38692631
242843658,38698164,17,4,4,0,5,5,2019-12-11 09:19:39.527000+00:00,e6be838c-a6f4-4e99-86b2-b1e92fc36081,1,17,38698164
242944454,30960924,5,2,2,0,4,4,2019-03-12 11:46:50.291000+00:00,fd172633-eb55-48cc-a298-8e38dcc58b60,3,"5,5,5","30960924,30960907,30960931"
242968721,30863290,5,1,1,0,1,1,2019-03-02 14:16:59.027000+00:00,8deb9cc2-5973-4401-a79f-a43830d6019f,1,5,30863290
242991317,30865819,5,3,3,0,3,3,2019-03-08 02:50:23.252000+00:00,2a80b762-0979-4cec-a621-e924fca23d55,5,"5,32,5,5,5","30865819,56359624,30865839,30865833,30865826"
243192504,64590842,38,3,3,0,5,5,2021-07-26 15:12:06.437000+00:00,84f1fbd4-d392-4deb-981e-9df8bfe1dbe6,2,"38,11","64590842,34554214"
243192743,64597019,38,-1,1,2,2,2,2021-07-30 07:19:37.298000+00:00,2ad14bcf-17f9-4182-8915-b1c2b073237a,1,38,64597019
243237647,34555287,11,1,1,0,2,2,2019-07-10 18:08:26.368000+00:00,3529cdf3-314f-415d-b3bf-a92360698532,1,11,34555287
243248327,44574280,23,5,5,0,5,5,2020-05-16 04:46:52.009000+00:00,f99ed051-1d2e-45e3-b927-18c6a8e13629,4,"23,22,15,16","44574280,43262060,37773961,39501738"
243274510,48930526,26,1,1,0,1,1,2020-08-19 03:20:55.707000+00:00,b90ce019-4f53-4a41-947c-c4f8b06efbd4,1,26,48930526
243276811,40161449,19,0,1,1,1,1,2020-02-04 19:33:37.383000+00:00,4edae657-2171-4450-89b1-4a037cacbc9a,1,19,40161449
243284447,37770123,15,1,1,0,1,1,2019-10-30 02:13:50.568000+00:00,c09a2737-c304-4a2a-9083-9c8fb8d01d1d,1,15,37770123
243287588,64595747,38,4,4,0,6,6,2021-07-27 13:02:02.871000+00:00,63540fa3-d1d7-4326-9648-d226dc3e5033,1,38,64595747
243294322,64605093,38,6,6,0,6,6,2021-08-05 07:36:32.691000+00:00,26cfe620-f630-45be-91e3-e80777ebf7bb,1,38,64605093
243315719,41029938,21,1,1,0,1,1,2020-03-17 10:17:50.054000+00:00,c95531d1-32b8-405b-9add-223333d3112e,1,21,41029938
243318224,48935297,26,1,1,0,2,2,2020-08-28 17:18:49.690000+00:00,2aac4e13-eb37-4d37-933e-6ccc08325bbb,1,26,48935297
243319567,44564001,23,3,3,0,3,3,2020-05-14 16:49:08.418000+00:00,06ea0d49-0d92-4209-b1dc-8ab8c298b5d5,5,"23,16,26,15,14","44564001,37872346,48929539,37773491,36972453"
243324400,64595464,38,4,4,0,5,5,2021-07-25 20:40:18.451000+00:00,4f0bd948-e5d1-454b-a12a-6357f4ceefa6,1,38,64595464
243335710,46378424,24,-4,1,5,5,5,2020-06-15 08:37:19.525000+00:00,78ad3477-bcec-4c2d-85ca-88b26a9a87a1,1,24,46378424
243344284,64608407,38,1,1,0,1,1,2021-07-27 19:32:34.197000+00:00,0a3d95ea-3015-45fc-a1f6-dc48a4da868d,1,38,64608407
243352373,37860107,16,3,3,0,5,6,2019-11-08 15:39:39.398000+00:00,fac67d49-222f-4e3d-8121-385ad22b5796,6,"16,15,26,23,20,14","37860107,37767114,48950634,44567298,40858801,36973672"
243352809,37754700,15,4,4,0,4,4,2019-11-03 12:21:23.024000+00:00,cf8f55fd-a45a-4fba-b004-d16f54491712,5,"15,26,23,16,14","37754700,48943837,44571386,37865921,36969214"
243359168,64607944,38,1,1,0,1,1,2021-07-24 10:00:55.306000+00:00,30fb752f-a01b-41f0-b6df-9dd7ea23d891,1,38,64607944
243391162,64594553,38,4,4,0,5,5,2021-07-27 17:55:50.260000+00:00,84c99884-c943-4b0b-ae02-14e67ddf9902,2,"38,11","64594553,34554511"
243391171,64594570,38,2,2,0,2,2,2021-07-25 18:20:13.024000+00:00,63478cc3-53f2-4f06-ad70-f4c0ab9d7921,2,"38,11","64594570,34496705"
243393076,34548373,11,1,1,0,1,1,2019-07-12 15:51:12.340000+00:00,add0ec8d-b392-4df5-b063-bd9d7f73a5a8,1,11,34548373
243423596,64593388,38,1,1,0,2,2,2021-07-26 13:57:11.949000+00:00,cd5e770c-6092-4e89-8b9b-74fe2ed68ee3,1,38,64593388
243449287,34491635,11,1,1,0,1,1,2019-07-09 13:42:18.110000+00:00,9aed15ba-8873-41fb-99a6-45aa104f45ea,1,11,34491635
243475355,64603934,38,3,3,0,4,4,2021-08-05 11:27:04.381000+00:00,b2975179-9bbe-46c9-8ac4-fa034f274180,2,"38,11","64603934,34471642"
243499551,34494919,11,2,2,0,2,2,2019-07-14 01:06:13.317000+00:00,607d7c69-e3fa-414c-b7ab-481e05e7a387,1,11,34494919
243499565,64602520,38,2,2,0,2,2,2021-07-26 12:22:40.674000+00:00,bcc53119-5e90-4c67-9376-ef15af0a619d,1,38,64602520
243550034,64592119,38,5,5,0,6,6,2021-07-26 12:39:22.598000+00:00,cee9bcd9-560f-4ae3-8152-63e1269035bc,1,38,64592119
243581050,64593275,38,2,2,0,2,2,2021-07-27 19:04:50.104000+00:00,c8ae607b-74b1-4d1b-bdb3-3a93df678a99,1,38,64593275
243642384,34481611,11,1,1,0,1,1,2019-07-03 13:09:16.638000+00:00,60b1af7a-fcd7-45d8-9771-12f13fbf9049,1,11,34481611
243643549,34547716,11,3,3,0,5,5,2020-11-08 15:30:38.915000+00:00,b7821373-73fa-4d1e-a407-0f58b8bad3c5,1,11,34547716
243662768,64592222,38,2,2,0,2,2,2021-07-24 19:20:51.119000+00:00,e3396290-9891-4ea7-a326-d9f0d28099a9,2,"38,11","64592222,34493565"
244163413,29707086,3,6,6,0,6,6,2019-01-31 16:53:33.328000+00:00,b3198243-348d-4e41-8539-be1336a825ef,3,"3,3,3","29707086,29707090,29707093"
244203955,30944169,5,1,1,0,1,1,2019-03-07 02:11:34.094000+00:00,27d1ddcf-a2ac-4b6f-9f43-ba7733191b1b,2,"5,5","30944169,30944177"
244207973,30886754,5,3,3,0,3,3,2019-03-11 10:26:28.215000+00:00,de2beb8c-23f1-4a61-a8d6-fed3c129217a,4,"5,5,5,5","30886754,30886755,30886756,30886753"
244208023,30875747,5,3,3,0,4,4,2019-03-14 04:17:41.527000+00:00,b31fee58-f6a0-4e1d-9053-d7732954a12a,4,"5,5,5,5","30875747,30875734,30875737,30875742"
244250449,30945153,5,5,5,0,5,5,2019-03-10 12:46:02.638000+00:00,e41dd67b-ac43-4ac5-b534-1da7fb2fd8b6,4,"5,5,5,5","30945153,30945158,30945142,30945147"
244252435,56357729,32,5,5,0,6,9,2021-02-09 12:55:58.879000+00:00,2a54d4fe-ac97-4b9d-ae6f-a32ca14628fd,5,"32,5,5,5,5","56357729,30858171,30858164,30858166,30858168"
244612401,36974659,14,1,1,0,2,2,2019-10-01 19:25:09.682000+00:00,74142dcc-f009-4b56-8967-40c5da79f3d4,1,14,36974659
244865631,34472379,11,1,1,0,1,1,2019-07-13 18:08:23.297000+00:00,a6c0fe05-a909-4b73-9a3c-142df6de656e,1,11,34472379
245035219,34472049,11,1,1,0,1,1,2019-07-14 00:13:17.712000+00:00,7e17169f-0d89-47ea-806e-53af9d318780,1,11,34472049
245068274,64593621,38,5,5,0,7,7,2021-07-26 09:55:26.324000+00:00,515a35a4-1607-4100-9348-960bba8dfb94,1,38,64593621
245132906,64603627,38,4,4,0,5,5,2021-08-05 13:18:56.027000+00:00,0e9a476e-9400-4a91-9dec-046214dd56b8,2,"38,37","64603627,62800413"
245218394,36975645,14,2,3,1,3,3,2020-05-01 21:14:31.109000+00:00,e8d5f3a6-a151-4a0d-abdd-dce3e0c0c092,1,14,36975645
245234391,34487942,11,1,1,0,1,1,2019-07-05 15:22:11.867000+00:00,0d9640b2-c615-47cb-9e9c-429b6250f477,1,11,34487942
245341523,64597148,38,-2,1,3,4,4,2021-07-27 11:03:07.343000+00:00,0d052763-c92a-4fcb-bdc2-a9157a6539a5,1,38,64597148
245380652,64598429,38,2,2,0,3,3,2021-07-26 14:32:46.852000+00:00,91929995-f9bb-495d-b47e-7463f58f3255,1,38,64598429
245440777,34493802,11,1,1,0,1,1,2019-07-02 16:57:15.668000+00:00,fff840b1-e411-4803-bfa5-003bb2ff4210,1,11,34493802
245527958,35160009,12,1,1,0,2,2,2020-04-22 15:07:37.592000+00:00,8c45e9f3-fe98-4fb8-a8b9-dd307edbc337,1,12,35160009
245565877,65553805,39,4,5,1,6,6,2021-08-20 18:48:25.326000+00:00,1e411979-da68-4c65-93e8-99b0e58e6bcd,1,39,65553805
245777432,35173198,12,1,1,0,1,1,2019-07-27 19:20:26.176000+00:00,bee32405-d5bc-40d3-8342-e3633f181df9,1,12,35173198
245786953,30927563,5,1,1,0,1,1,2019-03-02 07:51:25.846000+00:00,0f0d7e22-1a4d-4b3f-a0c0-197f1edefaa4,1,5,30927563
245790250,56365648,32,1,1,0,2,2,2021-02-06 21:57:04.396000+00:00,bdf6148c-1d06-4190-95e4-3cce6d2bb6cc,1,32,56365648
245821931,30859698,5,1,1,0,1,1,2019-03-04 18:20:15.553000+00:00,84e73bf5-b896-44a2-8d40-d26eda2e4b02,1,5,30859698
245863693,30911150,5,5,5,0,5,5,2019-03-13 16:29:32.103000+00:00,a852dbd0-0f36-4944-a02b-add6908cdddb,4,"5,5,5,5","30911150,30911141,30911146,30911148"
245872346,56359121,32,6,6,0,6,6,2021-02-04 23:31:08.894000+00:00,59eac8a0-ee1b-4139-a300-f6481e60ea8e,1,32,56359121
245942130,56369923,32,3,3,0,3,3,2021-02-07 14:17:05.885000+00:00,d1dab57a-e7dc-4268-b793-e793c05541a3,1,32,56369923
245999208,65548599,39,5,5,0,6,6,2021-08-14 20:09:37.453000+00:00,eabf3e45-5276-480f-b46f-2789bd34df0f,1,39,65548599
246119799,35168734,12,2,2,0,2,2,2019-08-02 21:03:33.206000+00:00,e53c5f4d-8d92-4dc2-8299-0198cace55ee,1,12,35168734
246545297,65544246,39,2,2,0,2,2,2021-08-07 12:31:37.424000+00:00,72d50529-6baf-400d-8aed-f42aba7b98b3,1,39,65544246
