TIC_ID,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,RAJ2000,DEJ2000,angDist,Match_Score,Match_Mag_Band,Match_Mag_Diff
348899935,403422,B,SSS_J070527.1-600343,0,RRAB,,18.21,,CV,(,,0.71,,CV,,0.54071,,106.36297,-60.06191,27.20092,-1,V,6.838000000000001
349156098,840377,,ASASSN-V J071248.16-644303.5,0,EA,,15.43,,V,,,16.61,,V,,1.2015,,108.20069,-64.71763,40.714641,-1,V,5.023
349484636,556344,B,ASASSN-V J072508.36-595933.9,0,EW,,14.17,,V,,,14.59,,V,,0.371972,,111.28482,-59.99275,34.260679,-1,V,2.648999999999999
349644606,485985,B,SSS_J072827.7-605222,0,EW,,15.39,,CV,(,,0.23,,CV,,0.385013,,112.11573,-60.87292,26.855801,-1,V,5.163
349677777,6108,B,V0355 Car,0,SRB,,9.7,,V,,,11.0,,V,,241.0,,112.28504,-63.24578,0.075148,-1,V,1.42
349681062,83682,B,ASAS J073040-6025.9,0,MISC,,9.85,,V,(,,0.26,,V,,26.43,,112.66967,-60.43203,86.588193,-1,V,2.8309999999999995
349911034,840327,,ASASSN-V J073553.26-654023.8,0,EA,,15.08,,V,,,15.48,,V,,1.077,,113.97191,-65.67329,33.978815,-1,V,3.0820000000000007
350025488,838825,,ASASSN-V J073808.09-645522.9,0,EW,,14.77,,V,,,14.9,,V,,0.235815,,114.53371,-64.92302,109.40005,-1,V,3.112
350025490,838825,,ASASSN-V J073808.09-645522.9,0,EW,,14.77,,V,,,14.9,,V,,0.235815,,114.53371,-64.92302,118.599949,-1,V,2.2379999999999995
350094542,651729,B,WISE J074034.2-643358,0,EW,,13.69,,W1,(,,0.42,,W1,,0.314607,,115.14252,-64.56636,40.311486,-1,w1,4.372999999999999
350099092,633862,B,WISE J074132.3-614150,0,EW,,11.67,,W1,(,,0.173,,W1,,0.3897627,,115.3849,-61.69727,26.738372,-1,w1,1.2669999999999995
350332233,838060,,NEV326,0,UV,>,15.5,,g',,,16.5,,g',,,,83.97763,-55.57156,0.055987,-1,B,2.0569999999999986
350431335,481943,B,SSS_J054008.0-565356,0,EA,,15.98,,CV,(,,0.61,,CV,,0.574769,,85.03401,-56.89884,46.939459,-1,V,6.457000000000001
350715999,410655,B,ASAS J055341-5640.6,0,MISC,,9.364,,Ic,(,,0.07,,Ic,,857.6,,88.42263,-56.67679,51.469454,-1,T,1.567000000000001
350858713,482500,B,SSS_J060103.7-545619,0,EB|EW,,13.13,,CV,(,,0.65,,CV,,0.558453,,90.26495,-54.93863,84.40264,-1,V,5.73
350954078,482587,B,SSS_J060323.4-554758,0,RRC,,16.3,,CV,(,,0.37,,CV,,0.33811,,90.84746,-55.79971,55.729596,-1,V,6.706000000000001
352055959,585691,B,ASASSN-V J162725.07-404518.1,0,L:,,14.28,,V,,,15.01,,V,,,,246.85444,-40.75504,79.642338,-1,V,4.059999999999999
354385277,634567,B,WISE J231014.1+731838,0,EA,,11.794,,W1,(,,0.661,,W1,,2.9225977,,347.55907,73.31081,19.575893,-1,w1,1.888
354437781,1662071,,ZTF J055630.78+381012.9,0,EW,,15.46,,r,(,,0.623,,r,,0.2650796,,89.12828,38.17026,69.528884,-1,GAIA,3.5840000000000014
354571603,9576,B,WX Col,0,RS:,,9.36,,Hp,,,9.48,,Hp,,,,84.30383,-42.71547,3.93125,-1,V,1.2102000000000004
354571976,78050,B,ASAS J054054-4204.5,0,RRC,,12.9,,CV,(,,0.3,,CV,,0.329777,,85.22529,-42.07458,39.005467,-1,V,1.1240000000000006
