TIC,m_TIC,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,Sectors,UpDate,tesseb_source
106403786,1,1544.545212,0.0004475507,2.1954573,2.6007662e-05,0.497,0.066,0.053,1.0,,,,0.1115,0.067,3.404e-05,,,,9,2021-09-16T17:38:57,J/ApJS/258/16/tess-ebs
106470229,1,1549.436492,0.004332593,5.0203952,0.00068077889,0.247,0.027,0.043,0.9991,,,,0.04023,0.05,7.131e-06,,,,9,2021-09-16T17:38:59,J/ApJS/258/16/tess-ebs
107012110,1,1571.52082,0.0006035329,3.0311832,0.0016253486,0.349,,,0.9549,,,0.544,0.03157,0.015,0.954,,,,10,2021-09-16T17:36:22,J/ApJS/258/16/tess-ebs
107548305,1,1600.122599,0.002453261,0.048979,1.2868775e-07,0.949,0.231,0.043,1.001,0.271,0.036,0.505,,,,,,,11,2021-09-16T17:36:40,J/ApJS/258/16/tess-ebs
110428269,1,1683.555052,0.002877043,0.6496575,0.00017276874,0.5,,,,,,,,,,,,,14,2021-09-16T17:37:10,J/ApJS/258/16/tess-ebs
110981024,1,1684.253007,0.001626179,1.9793094,0.00017061432,0.623,0.097,0.012,0.9982,,,,0.1879,0.033,0.9992,0.181,0.008,0.4953,14,2021-09-16T17:37:25,J/ApJS/258/16/tess-ebs
111267340,1,1386.576515,3.366385e-05,1.2703727,4.3244691e-05,0.471,0.066,0.667,0.9998,0.066,0.424,0.501,0.09438,0.757,0.9998,0.101,0.47,0.5,3,2021-09-16T17:39:19,J/ApJS/258/16/tess-ebs
112098034,1,1600.096182,0.005549592,3.9102627,0.0016129342,0.394,0.056,0.002,0.998,,,,0.08132,0.002,0.9992,,,,11,2021-09-16T17:36:41,J/ApJS/258/16/tess-ebs
112099606,1,1606.296266,0.0001134507,10.2868251,8.628806e-05,0.166,0.035,0.144,1.0,0.036,0.121,0.605,0.04968,0.157,8.585e-06,0.052,0.133,0.6045,11,2021-09-16T17:36:40,J/ApJS/258/16/tess-ebs
112236473,1,1493.207417,0.005146455,10.278941,0.0059782687,0.241,0.029,0.005,0.9999,,,,0.03867,0.006,0.9994,0.035,0.005,0.5,7,2021-09-16T17:39:39,J/ApJS/258/16/tess-ebs
