subject_id,eb_score,num_votes_eb,num_votes_transit,num_users,num_comments,updated_at
56369364,2,2,0,3,3,2021-02-06 08:22:27.119000+00:00
56369379,1,1,0,1,1,2021-02-06 12:15:03.669000+00:00
56369398,1,2,1,6,6,2021-02-05 14:30:23.347000+00:00
56369449,2,2,0,2,2,2021-02-05 00:54:44.410000+00:00
56369483,1,1,0,2,2,2021-02-06 23:01:13.943000+00:00
56369525,1,1,0,2,2,2021-02-06 16:37:24.920000+00:00
56369563,1,1,0,1,1,2021-02-05 19:19:08.419000+00:00
56369573,2,2,0,2,2,2021-02-07 06:32:47.209000+00:00
56369587,1,1,0,2,2,2021-02-06 09:29:53.495000+00:00
56369589,-3,1,4,5,5,2021-02-04 19:51:43.389000+00:00
56369789,2,3,1,3,3,2021-02-06 19:26:24.120000+00:00
56369816,4,4,0,4,4,2021-02-07 13:47:13.552000+00:00
56369900,2,3,1,3,3,2021-02-05 10:38:56.435000+00:00
56369923,3,3,0,3,3,2021-02-07 14:17:05.885000+00:00
56369977,1,1,0,1,1,2021-02-05 21:14:00.154000+00:00
56370015,2,2,0,3,3,2021-02-06 16:51:15.836000+00:00
56370016,1,1,0,1,1,2021-02-06 14:00:37.523000+00:00
56370059,-2,1,3,5,5,2021-02-06 23:56:35.171000+00:00
56370067,4,4,0,4,4,2021-02-07 10:40:54.820000+00:00
56370156,1,1,0,1,1,2021-02-07 12:35:43.295000+00:00
56370164,5,5,0,5,5,2021-02-06 02:35:01.903000+00:00
56370261,1,1,0,2,2,2021-02-03 14:59:19.044000+00:00
56370283,5,5,0,5,5,2021-02-05 20:27:14.201000+00:00
56370299,3,3,0,3,3,2021-02-04 22:18:17.622000+00:00
56370307,-1,2,3,6,7,2021-04-21 08:26:14.197000+00:00
56370338,5,5,0,5,5,2021-02-06 12:16:10.909000+00:00
56370353,3,4,1,5,5,2021-02-06 09:41:31.930000+00:00
56370417,1,1,0,2,2,2021-02-06 06:36:31.566000+00:00
56370437,7,7,0,8,8,2021-02-07 16:49:40.892000+00:00
56370621,2,3,1,5,5,2021-02-06 22:12:44.028000+00:00
56370665,1,2,1,5,5,2021-02-06 15:22:44.391000+00:00
56370668,4,6,2,10,10,2021-02-07 18:15:44.902000+00:00
56370674,1,1,0,1,1,2021-02-07 05:05:57.647000+00:00
56370696,1,1,0,1,1,2021-02-04 21:19:43.318000+00:00
56370729,1,1,0,1,1,2021-02-04 16:24:43.204000+00:00
56370730,1,3,2,5,5,2021-05-20 20:09:54.241000+00:00
56370769,-3,2,5,9,9,2021-02-07 01:04:15.565000+00:00
56370784,1,1,0,1,1,2021-02-07 18:04:49.730000+00:00
56370786,1,4,3,5,5,2021-02-05 13:04:15.341000+00:00
56370788,5,5,0,6,6,2021-02-05 22:37:26.341000+00:00
56371055,3,3,0,5,5,2021-02-06 19:39:42.677000+00:00
56371064,1,1,0,1,1,2021-02-05 12:30:53.306000+00:00
56371074,2,2,0,2,2,2021-02-05 18:59:31.213000+00:00
56371094,5,5,0,5,5,2021-02-10 22:01:33.680000+00:00
56371101,-1,2,3,5,5,2021-02-11 22:37:36.329000+00:00
56371196,2,4,2,4,4,2021-02-06 23:20:25.675000+00:00
56371207,6,6,0,6,6,2021-02-04 17:13:08.004000+00:00
56371257,5,5,0,5,5,2021-02-10 21:54:45.942000+00:00
56371308,2,2,0,3,3,2021-02-07 09:55:15.533000+00:00
56371309,6,6,0,7,7,2021-02-10 21:50:10.068000+00:00
56371346,-4,1,5,8,9,2021-02-06 20:46:17.751000+00:00
56371372,5,5,0,5,5,2021-02-06 17:53:20.369000+00:00
56371377,4,4,0,4,4,2021-02-07 05:33:43.516000+00:00
56371436,5,5,0,5,5,2021-02-10 21:37:51.348000+00:00
56371446,1,1,0,2,2,2021-02-04 21:45:36.621000+00:00
56371463,3,3,0,3,3,2021-02-10 21:31:58.254000+00:00
56371550,0,1,1,2,2,2021-02-06 16:41:26.696000+00:00
56371585,1,1,0,1,1,2021-02-04 22:06:04.443000+00:00
56371593,4,4,0,4,4,2021-02-10 21:17:14.682000+00:00
56371675,1,1,0,2,2,2021-02-06 00:56:58.310000+00:00
56371707,3,3,0,5,5,2021-02-11 13:18:48.406000+00:00
56371714,1,2,1,4,5,2021-02-04 08:48:11.642000+00:00
56371735,-1,2,3,6,6,2021-02-07 13:41:46.501000+00:00
56371762,3,3,0,4,4,2021-02-10 21:10:52.658000+00:00
56371822,-3,1,4,6,6,2021-02-06 21:27:06.687000+00:00
56371885,3,3,0,5,5,2021-02-10 19:46:56.510000+00:00
56371896,1,1,0,1,1,2021-02-01 18:30:31.771000+00:00
56371904,1,1,0,1,1,2021-02-04 20:17:33.846000+00:00
56371942,1,1,0,1,1,2021-02-06 09:48:51.765000+00:00
56371995,1,1,0,1,1,2021-02-10 19:42:27.145000+00:00
56372009,3,3,0,3,3,2021-02-05 11:18:13.282000+00:00
56372022,0,2,2,5,5,2021-02-06 21:04:12.100000+00:00
56372043,-1,2,3,4,4,2021-02-07 16:55:49.594000+00:00
56372045,1,1,0,2,2,2021-02-05 10:00:42.078000+00:00
56372048,-2,1,3,5,5,2021-02-06 07:24:11.431000+00:00
56372051,3,3,0,4,4,2021-02-07 07:42:10.748000+00:00
56372070,-1,3,4,4,4,2021-02-06 17:59:13.894000+00:00
56372076,3,3,0,4,4,2021-02-09 22:56:33.467000+00:00
56372103,3,3,0,3,3,2021-02-09 22:52:01.935000+00:00
56372115,-1,1,2,5,5,2021-02-10 19:15:52.797000+00:00
56372119,1,1,0,1,1,2021-02-05 19:22:38.919000+00:00
56372128,4,4,0,5,5,2021-02-07 14:33:48.880000+00:00
56372132,2,2,0,3,3,2021-02-10 18:36:12.556000+00:00
56372145,1,1,0,1,1,2021-02-04 20:44:54.020000+00:00
56372362,1,1,0,1,1,2021-02-05 12:01:34.952000+00:00
56372405,5,5,0,6,7,2021-07-20 20:30:49.496000+00:00
56372420,5,5,0,5,5,2021-02-07 21:01:42.658000+00:00
56372505,1,1,0,1,1,2021-02-06 20:37:28.236000+00:00
56372517,3,3,0,5,5,2021-02-06 21:51:38.632000+00:00
56372546,1,1,0,1,1,2021-02-07 06:49:36.215000+00:00
56372560,3,3,0,4,4,2021-02-09 22:40:15.933000+00:00
56372567,2,2,0,2,2,2021-02-07 11:43:25.757000+00:00
56372582,7,7,0,7,7,2021-02-05 15:19:18.446000+00:00
56372593,-3,1,4,5,5,2021-07-20 16:21:14.766000+00:00
56372742,3,3,0,3,3,2021-02-06 10:09:36.686000+00:00
56372785,1,2,1,2,2,2021-02-02 17:26:45.697000+00:00
56372789,4,4,0,4,4,2021-02-07 16:29:40.531000+00:00
56372792,1,1,0,1,1,2021-02-04 20:20:44.420000+00:00
56372824,5,5,0,7,7,2021-02-06 21:29:01.065000+00:00
56372831,5,5,0,5,5,2021-02-09 21:28:29.735000+00:00
