HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457063.74803,2015-02-10.2464427,be,2.02,15.376,11.800,0.008,73.068,0.568,V
2457065.76574,2015-02-12.2641471,be,1.51,15.478,11.850,0.008,69.758,0.519,V
2457065.76719,2015-02-12.2655967,be,1.52,15.479,11.858,0.008,69.302,0.518,V
2457068.63676,2015-02-15.1351339,be,1.51,15.480,11.748,0.008,76.629,0.531,V
2457068.63819,2015-02-15.1365625,be,1.55,15.496,11.731,0.007,77.928,0.520,V
2457071.62525,2015-02-18.1236072,be,1.46,15.496,11.758,0.007,75.987,0.515,V
2457071.62666,2015-02-18.1250193,be,1.46,15.497,11.774,0.007,74.897,0.513,V
2457071.65589,2015-02-18.1542461,be,1.46,99.990,99.990,99.990,99.990,99.990,V
2457071.65733,2015-02-18.1556858,be,1.43,15.506,11.767,0.007,75.392,0.510,V
2457076.61395,2015-02-23.1122833,be,1.49,15.473,11.733,0.007,77.736,0.521,V
2457076.61539,2015-02-23.1137209,be,1.45,15.471,11.730,0.008,77.951,0.535,V
2457078.62288,2015-02-25.1212026,be,1.49,15.475,11.749,0.007,76.596,0.525,V
2457078.62431,2015-02-25.1226328,be,1.51,15.478,11.745,0.007,76.955,0.528,V
2457080.61063,2015-02-27.1089449,be,1.48,15.430,11.735,0.008,77.569,0.559,V
2457080.61205,2015-02-27.1103675,be,1.47,15.462,11.730,0.007,77.943,0.535,V
2457083.61437,2015-03-02.1126844,be,1.54,15.418,11.742,0.008,77.128,0.556,V
2457083.61800,2015-03-02.1163045,be,1.48,15.406,11.742,0.008,77.159,0.561,V
2457085.65877,2015-03-04.1570740,be,1.48,15.376,11.800,0.009,73.107,0.580,V
2457085.66019,2015-03-04.1585011,be,1.45,15.389,11.798,0.009,73.219,0.577,V
2457087.66840,2015-03-06.1667090,be,1.55,15.328,11.774,0.008,74.867,0.600,V
2457087.66983,2015-03-06.1681392,be,1.53,15.265,11.758,0.010,75.996,0.643,V
2457088.56976,2015-03-07.0680685,be,1.49,15.385,11.750,0.009,76.490,0.578,V
2457088.57119,2015-03-07.0695005,be,1.57,15.375,11.745,0.009,76.930,0.585,V
2457090.72582,2015-03-09.2241306,be,1.55,15.343,11.747,0.008,76.802,0.586,V
2457090.72721,2015-03-09.2255215,be,1.64,15.319,11.750,0.008,76.594,0.597,V
2457092.68730,2015-03-11.1856157,be,1.76,15.393,11.741,0.008,77.142,0.564,V
